               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087881,            0.055893,            0.054596,            0.091777,              0.3573,              0.1446,            0.043697,            0.057079,            0.037935,            0.046729,           0.0033224,           0.0033224,            0.070099
                   1,            0.067811,            0.031613,             0.04319,             0.44602,             0.34727,             0.23492,            0.068255,            0.059906,            0.031692,            0.033652,           0.0065898,           0.0065898,            0.040033
                   2,            0.060695,            0.027887,            0.033463,             0.14706,             0.22408,             0.10501,             0.02598,            0.090945,            0.028787,            0.039709,           0.0097913,           0.0097913,           0.0099009
                   3,            0.053493,            0.025001,            0.022513,             0.35425,             0.37001,             0.28431,            0.074678,            0.072093,            0.028342,            0.032914,            0.009703,            0.009703,            0.009703
                   4,            0.047777,            0.023738,            0.013739,             0.83548,             0.70664,             0.78781,              0.3243,            0.042733,            0.027669,            0.013348,            0.009703,            0.009703,            0.009703
                   5,            0.044757,             0.02261,           0.0098467,             0.51515,             0.45746,             0.45128,             0.13666,            0.064462,            0.025413,             0.02122,            0.009604,            0.009604,            0.009604
                   6,            0.042465,            0.022191,            0.007983,              0.7521,             0.72298,             0.72617,             0.27939,            0.049055,            0.024679,            0.011569,            0.009505,            0.009505,            0.009505
                   7,            0.041447,            0.021399,           0.0071033,             0.78209,             0.68193,             0.74854,             0.31412,            0.043333,            0.034035,            0.013617,            0.009406,            0.009406,            0.009406
                   8,            0.039804,            0.021406,           0.0066594,              0.7752,             0.75136,             0.80464,              0.3311,            0.042589,            0.026042,            0.014248,            0.009307,            0.009307,            0.009307
                   9,            0.039027,            0.021078,           0.0061978,             0.89715,             0.86021,             0.90259,             0.44028,            0.036095,            0.024614,           0.0071408,            0.009208,            0.009208,            0.009208
                  10,            0.038252,            0.020813,           0.0056685,             0.91423,             0.83641,             0.89412,             0.43455,            0.036867,            0.025725,           0.0080237,            0.009109,            0.009109,            0.009109
                  11,            0.037369,            0.020713,           0.0056478,             0.76221,               0.714,             0.74512,               0.288,            0.047208,            0.024879,            0.012229,             0.00901,             0.00901,             0.00901
                  12,            0.037339,            0.020196,           0.0052327,             0.89461,             0.83241,             0.89874,             0.42454,            0.037235,             0.02383,            0.008898,            0.008911,            0.008911,            0.008911
                  13,            0.036498,             0.02046,           0.0047036,             0.61987,             0.53082,             0.53503,             0.18499,            0.056453,            0.026118,            0.017386,            0.008812,            0.008812,            0.008812
                  14,            0.036191,            0.020374,           0.0041948,              0.9456,             0.88587,             0.93821,             0.50563,            0.033439,             0.02219,           0.0058211,            0.008713,            0.008713,            0.008713
                  15,            0.035514,            0.020126,           0.0047986,             0.85411,             0.73196,              0.8594,             0.40399,            0.038333,            0.023605,            0.012419,            0.008614,            0.008614,            0.008614
                  16,            0.035509,            0.019889,           0.0044764,             0.79588,             0.79204,             0.84911,             0.39001,              0.0388,            0.023713,            0.012292,            0.008515,            0.008515,            0.008515
                  17,            0.034975,            0.020293,            0.004125,             0.94298,             0.94588,             0.95062,             0.50418,            0.032727,            0.021572,           0.0040185,            0.008416,            0.008416,            0.008416
                  18,            0.034386,            0.019935,           0.0044278,             0.86405,             0.79472,             0.86058,               0.405,            0.038993,            0.025851,           0.0095894,            0.008317,            0.008317,            0.008317
                  19,             0.03459,            0.019694,           0.0043296,              0.8051,             0.62963,             0.72071,             0.33294,            0.044325,            0.039656,             0.01394,            0.008218,            0.008218,            0.008218
                  20,            0.033958,            0.019604,           0.0040779,             0.70208,             0.46659,             0.45244,             0.14787,            0.062809,             0.02468,            0.016192,            0.008119,            0.008119,            0.008119
                  21,            0.033682,            0.019608,           0.0038559,             0.89958,             0.82735,             0.89982,              0.4558,            0.035938,             0.02435,           0.0074111,             0.00802,             0.00802,             0.00802
                  22,            0.033655,            0.019157,           0.0038397,             0.94334,             0.92198,             0.94806,             0.49971,            0.033378,            0.022545,           0.0044455,            0.007921,            0.007921,            0.007921
                  23,            0.033342,            0.019511,           0.0037095,              0.9108,             0.85786,             0.92071,             0.48545,            0.033581,            0.023052,           0.0069508,            0.007822,            0.007822,            0.007822
                  24,            0.032808,            0.019503,            0.003642,              0.8723,             0.78803,             0.81848,             0.34718,            0.043418,             0.02386,           0.0079051,            0.007723,            0.007723,            0.007723
                  25,            0.032972,            0.019391,           0.0036965,             0.79762,             0.48392,             0.53495,              0.2045,            0.053205,            0.027317,            0.025695,            0.007624,            0.007624,            0.007624
                  26,            0.032652,            0.019085,           0.0036713,             0.95741,             0.89634,             0.93755,             0.50036,             0.03358,            0.022787,           0.0051151,            0.007525,            0.007525,            0.007525
                  27,            0.032761,            0.018899,           0.0038867,             0.95438,             0.92029,              0.9401,             0.49245,            0.033273,            0.022756,           0.0045013,            0.007426,            0.007426,            0.007426
                  28,            0.032533,            0.018929,           0.0034814,              0.7669,             0.65608,             0.77853,             0.36676,            0.042551,            0.027651,            0.024475,            0.007327,            0.007327,            0.007327
                  29,            0.032337,            0.018936,           0.0035295,             0.95789,             0.94938,              0.9575,             0.54344,            0.030984,            0.020877,            0.003852,            0.007228,            0.007228,            0.007228
                  30,            0.031541,            0.018557,           0.0033335,             0.94169,             0.92934,             0.94256,             0.50732,            0.032752,            0.022233,           0.0044993,            0.007129,            0.007129,            0.007129
                  31,            0.031751,            0.018623,           0.0034606,             0.84759,             0.69818,             0.76345,              0.3748,            0.042167,            0.032397,            0.012515,             0.00703,             0.00703,             0.00703
                  32,            0.031762,             0.01869,           0.0034092,             0.81816,             0.57733,             0.65725,              0.3096,            0.041973,            0.031462,            0.029621,            0.006931,            0.006931,            0.006931
                  33,            0.031521,            0.018618,           0.0029998,             0.95322,             0.94313,             0.95898,             0.54636,            0.030369,            0.020909,           0.0041536,            0.006832,            0.006832,            0.006832
                  34,            0.031271,            0.018462,           0.0031587,             0.93352,             0.87939,             0.92112,             0.49606,             0.03337,            0.023473,           0.0065898,            0.006733,            0.006733,            0.006733
                  35,            0.031059,             0.01867,           0.0031628,              0.9536,             0.94814,             0.95532,             0.52669,            0.031278,            0.020941,           0.0040532,            0.006634,            0.006634,            0.006634
                  36,            0.031102,            0.018318,           0.0035845,             0.95419,             0.92263,             0.94394,             0.52911,            0.031684,            0.021692,           0.0041351,            0.006535,            0.006535,            0.006535
                  37,            0.030856,            0.018348,           0.0032344,             0.95681,             0.93992,             0.95485,             0.54704,            0.030663,            0.021164,           0.0036088,            0.006436,            0.006436,            0.006436
                  38,            0.030756,            0.018455,           0.0030027,             0.95333,             0.92752,             0.95593,             0.52524,            0.032087,            0.021355,           0.0044592,            0.006337,            0.006337,            0.006337
                  39,            0.030582,            0.018108,           0.0028394,             0.95652,             0.93531,             0.95889,             0.54479,            0.030468,            0.020846,           0.0041899,            0.006238,            0.006238,            0.006238
                  40,            0.030568,            0.018087,           0.0031211,             0.94819,             0.94416,             0.95546,              0.5416,            0.031279,            0.020856,           0.0037629,            0.006139,            0.006139,            0.006139
                  41,            0.030117,            0.018073,           0.0028455,             0.95948,             0.94067,             0.95304,             0.53662,            0.031765,            0.021718,             0.00449,             0.00604,             0.00604,             0.00604
                  42,             0.03012,            0.018049,           0.0028053,             0.96099,              0.9306,              0.9486,              0.5397,            0.030863,             0.02208,           0.0043836,            0.005941,            0.005941,            0.005941
                  43,            0.030054,            0.017997,           0.0028843,             0.96517,             0.91715,             0.95698,             0.55752,            0.030277,            0.021201,           0.0047565,            0.005842,            0.005842,            0.005842
                  44,             0.03005,            0.018051,           0.0030847,             0.95361,             0.94342,             0.96035,             0.55774,            0.029871,            0.020595,           0.0041761,            0.005743,            0.005743,            0.005743
                  45,            0.029749,            0.017924,           0.0026414,             0.94972,             0.93249,              0.9498,             0.53826,             0.03189,            0.022258,           0.0041942,            0.005644,            0.005644,            0.005644
                  46,            0.029762,            0.017937,           0.0024858,             0.94555,             0.91355,             0.95106,             0.54571,            0.030968,             0.02183,           0.0048593,            0.005545,            0.005545,            0.005545
                  47,            0.029507,            0.017973,           0.0027427,             0.95368,             0.94612,             0.95117,             0.52635,            0.031614,            0.021071,           0.0039255,            0.005446,            0.005446,            0.005446
                  48,            0.029172,            0.017822,           0.0023779,             0.96461,             0.94285,             0.96215,             0.56357,            0.029916,            0.020825,           0.0036833,            0.005347,            0.005347,            0.005347
                  49,            0.029198,            0.017635,           0.0025313,             0.94096,             0.90559,             0.92487,             0.47684,            0.035354,            0.022196,            0.006224,            0.005248,            0.005248,            0.005248
                  50,            0.029384,             0.01769,           0.0026544,             0.96184,             0.92213,             0.95318,             0.54117,            0.031185,            0.021841,            0.004513,            0.005149,            0.005149,            0.005149
                  51,            0.028984,            0.017581,           0.0026925,             0.85637,             0.81626,              0.8601,             0.43352,            0.036561,            0.024581,            0.011139,             0.00505,             0.00505,             0.00505
                  52,            0.029045,            0.017439,           0.0026179,             0.86665,             0.63241,             0.69528,             0.28469,            0.048807,            0.025752,            0.014534,            0.004951,            0.004951,            0.004951
                  53,            0.028798,            0.017848,           0.0025427,             0.93089,             0.86584,             0.92333,              0.5155,            0.032411,             0.02434,           0.0076327,            0.004852,            0.004852,            0.004852
                  54,            0.028648,            0.017538,           0.0024313,             0.94313,             0.92124,             0.94605,             0.53206,            0.031527,            0.022002,            0.005557,            0.004753,            0.004753,            0.004753
                  55,            0.028591,            0.017446,           0.0021553,             0.95972,             0.92439,             0.95343,             0.54014,            0.030907,            0.022154,            0.004232,            0.004654,            0.004654,            0.004654
                  56,            0.028385,            0.017446,           0.0020361,             0.91291,             0.91517,             0.93099,             0.49845,            0.033176,            0.023353,            0.005987,            0.004555,            0.004555,            0.004555
                  57,            0.028485,            0.017693,           0.0022443,             0.96839,             0.95545,             0.96394,             0.55855,            0.029904,            0.020662,           0.0041676,            0.004456,            0.004456,            0.004456
                  58,            0.028092,            0.016888,           0.0020902,             0.95857,             0.94356,             0.95685,             0.55886,            0.029578,            0.021145,           0.0039819,            0.004357,            0.004357,            0.004357
                  59,            0.028013,            0.017527,           0.0021562,               0.959,             0.94985,             0.96314,             0.56631,            0.029693,             0.02064,           0.0039806,            0.004258,            0.004258,            0.004258
                  60,            0.028127,            0.017242,           0.0021272,             0.95526,             0.94221,              0.9527,             0.54095,            0.030716,            0.021224,           0.0039947,            0.004159,            0.004159,            0.004159
                  61,            0.028073,            0.017107,           0.0022003,             0.94736,             0.94017,             0.95456,             0.54902,            0.030589,            0.021191,           0.0042385,             0.00406,             0.00406,             0.00406
                  62,            0.027923,            0.017348,           0.0021563,             0.94755,             0.93119,             0.95018,             0.53992,            0.031446,             0.02242,           0.0045271,            0.003961,            0.003961,            0.003961
                  63,            0.027479,            0.017387,           0.0020714,             0.95556,             0.94702,             0.95824,             0.56306,            0.030189,            0.021128,           0.0041569,            0.003862,            0.003862,            0.003862
                  64,            0.027394,            0.017094,           0.0020281,             0.87422,             0.86631,             0.90917,             0.47701,             0.03388,            0.024474,           0.0084795,            0.003763,            0.003763,            0.003763
